Title,Start date,End date,Date to be decided,Location,Organisers,Meetings summary,Relevance to the post-2020 process,Link to further information,Groupings,2nd grouping (where appropriate),Relation to the CBD's post-2020 process
High-level Political Forum on Sustainable Development 2019,01/07/2019,30/07/2019,x,"New York, USA",UN Economic and Social Council,"The theme of the High-level Political Forum on Sustainable Development (HLPF) 2019 will be: “Empowering people and ensuring inclusiveness and equality”. The sub-set of Sustainable Development Goals (SDGs) to be reviewed in depth by HLPF 2019 will be: SDG 4, 8, 10, 13, 16 and 17. ",The HLPF has a central role in the follow-up and review of the 2030 Sustainable Development Goals (SDGs) at the global level. The forum provides an opportunity to demonstrate how biodiversity underpins all of the 17 SDGs. ,https://sustainabledevelopment.un.org/hlpf,Intergovernmental processes,,Other relevance
IUCN Regional Conservation Forums ,01/06/2019,30/06/2019,x,Multiple locations,IUCN,Regional Conservation Forums (RCFs) will be held as part of the preparatory work towards the IUCN World Conservation Congress. At the RCFs IUCN Members' discussions include preparations towards the Congress including matters pertaining to the work Programme of IUCN for the next quadrennium and the potential policy motions to be submitted to the Congress for approval. ,It is expected that discussions during the 2019 RCFs will also help to inform IUCN’s position regarding the post-2020 biodiversity framework.,https://www.iucn.org/,,,Other relevance
OceanObs'19: An Ocean of opportunity,16/09/2019,20/09/2019,,"Honolulu, Hawaii, USA",ODYSSEA,"As part of the decadal conference series, the OceanObs’19 conference will bring together ocean observing communities, aiming to improve coordination of regional and national efforts to better observe the global ocean, to better respond to the joint scientific and societal needs of a fit-for-purpose ocean observing system, and maximise the overall benefit of more integrated observing.​ A set of Community Whitepapers will be published in a peer reviewed journal.",This conference is likely to provide recommendations on the use of global ocean observation data.,http://www.oceanobs19.net,Marine-focus,,Other relevance
Trondheim Conference on Biodiversity,01/09/2019,30/06/2019,x,TBD,Trondheim Conference Secretariat,"The Trondheim Conferences are a result of collaboration between the Secretariat of the UN Convention on Biological Diversity (CBD), United Nations Environment and the Norwegian government and are held every 3-4 years. The Trondheim Conferences provide an opportunity for consultation on scientific views and issues of relevance to CBD.",The Trondheim Conference for Biodiversity could be used to convene the CBD's first global consultation workshop. This would focus on scientific issues related to the post-2020 global biodiversity framework. ,http://www.trondheimconference.org/,,,Explicitly contributing to the process
CBD's Global science consultation workshop,01/09/2019,30/09/2019,x,TBD,CBD Secretariat,It is assumed that the second global consultation workshop would focus on scientific issues related to the post 2020 global biodiversity framework and that an event such as the Trondheim Biodiversity Conference could be used to convene the consultation.,"This is a key activity organised by the CBD, leading to the consideration of the post-2020 global biodiversity framework.",,,,Part of the formal process
UNCCD COP14,01/10/2019,30/10/2019,x,"Bonn, Germany",UNCCD Secretariat,The fourteenth meeting of the Conference of the Parties to the UN Convention to Combat Desertification (UNCCD COP 14) will assess progress and implementation of the commitments to achieve Land Degradation Neutrality (LDN).,The meeting provides an opportunity to consider how the post-2020 global biodiversity framework and the UNCCD 2018-2030 Strategic Framework can be mutually supportive. ,http://www2.unccd.int/convention/conference-parties-cop,,,Other relevance
UNFCCC COP25,11/11/2019,22/11/2019,,TBD,UNFCCC Secretariat,"The twenty-fifth Conference of the Parties to the UN Framework Convention on Climate Change (UNFCCC COP25) will address a broad range of issues related to the objectives of the convention. This will include a review of progress towards the Paris Climate Change Agreement, updates on guidelines for its implementation and transitions in key sectors that will be needed for the Paris Agreemenet to be met. ",The meeting provides an opportunity to consider how the post-2020 global biodiversity framework and the implementation of the Paris agreement can be mutually supportive. ,https://cop23.unfccc.int/,Intergovernmental processes,,Other relevance
CBD SBSTTA-23,01/11/2019,30/11/2019,x,TBD,CBD Secretariat,"The Convention on Biological Diversity's (CBD) twenty-third meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA-23) will focus on scientific and technical preparation for the CBD COP in 2020. ",The meeting will include discussions regarding the follow up to the Strategic Plan for Biodiversity 2011-2020. Of particular relevance will be the ongoing review of progress towards the Strategic Plan for Biodiversity 2011-2020 and options for accelerating progress. ,https://www.cbd.int/sbstta/,Intergovernmental processes,,Part of the formal process
WG8J-11,01/11/2019,30/11/2019,x,TBD,CBD Secretariat,"The 11th meeting of the Ad Hoc Open-ended Working Group on Article 8(j) and Related Provisions of the Convention on Biological Diversity (WG8J-11) will examine the potential role of traditional knowledge, customary sustainable use and the contribution of the collective actions of indigenous peoples and local communities in the conservation of biological diversity.",This is an opportunity to engage and involve indigenous and local communities in discussions related to the post-2020 global biodiversity framework.,https://www.cbd.int/convention/wg8j.shtml,Intergovernmental processes,,Part of the formal process
CBD's Global policy consultation workshop,01/02/2020,28/02/2020,x,TBD,CBD Secretariat,"It is assumed that the second global consultation workshop will focus on issues related to policy and would have approximately 100 participants representing Parties, other governments, indigenous peoples and local communities, relevant organisations and stakeholders from all regions.","This is a key activity organised by the CBD, leading to the consideration of the post-2020 global biodiversity framework.",,Intergovernmental processes,,Part of the formal process
CBD SBSTTA-24,01/06/2020,30/06/2020,x,TBD,CBD Secretariat,"The Convention on Biological Diversity's (CBD) twenty-fourth meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA-24) will focus on scientific and technical preparation for the CBD COP in 2020. ","The meeting will include discussions regarding the follow up to the Strategic Plan for Biodiversity 2011-2020. Of particular relevance will be the ongoing review of progress towards the Strategic Plan for Biodiversity 2011-2020 and options for accelerating progress. The draft of the post-2020 global biodiversity framework will be considered, with a view to providing advice on targets to SBI-3.",https://www.cbd.int/sbstta/,Intergovernmental processes,,Part of the formal process
CBD SBI-3,01/05/2020,30/05/2020,x,TBD,CBD Secretariat,The Convention on Biological Diversity's (CBD) second meeting of the Subsidiary Body on Implementation (SBI-2) will focus on progress in the implementation preparation for the CBD COP in November 2018. ,"The post-2020 global biodiversity framework will be considered, with a view to developing a recommendation for COP-15.",https://www.cbd.int/sbi/,Intergovernmental processes,,Part of the formal process
International Day for Biological Diversity 2020,22/05/2020,22/05/2020,,Worldwide,United Nations,This is a day to increase an understanding and awareness of biodiversity issues.  The theme for this year is to celebrate 25 years of action for biodiversity.,This day is relevant to raising awareness and building momentum in the lead up to COP-15.,https://www.cbd.int/idb/,Communications,,Other relevance
World Environment Day 2020,05/06/2020,05/06/2020,,Worldwide,United Nations,World Environment Day is the United Nations’ day for encouraging worldwide awareness and action for the protection of our environment. It is celebrated in over 100 countries.,"The day provides an opportunity for driving the momentum and public awareness of nature, a key aspect in the lead up to COP-15.",http://worldenvironmentday.global/,Communications,,Other relevance
IUCN World Conservation Congress,01/09/2020,30/09/2020,x,TBD,IUCN,"The IUCN World Conservation Congress brings together several thousand leaders and decision-makers from government, civil society, indigenous peoples, business, and academia, with the goal of conserving the environment and harnessing the solutions nature offers to global challenges. The Congress aims to improve how we manage our natural environment for human, social and economic development. ","The IUCN World Conservation Congresses produce a number of outcomes that set the direction for the Union for the next four years. It is expected that the different outcomes from Congress will provide recommendations for the CBD's COP15, and aim to support the wider implementation of the Convention, its objectives, and the international sustainable development agenda.",https://www.iucn.org/about/world-conservation-congress,,,Explicitly contributing to the process
UNGA 75,15/09/2020,30/09/2020,,"New York City, US",United Nations,"The 75th Session of the UN General Assembly (UNGA 75) will bring together all 193 Member States of the UN to discuss and work together on a wide array of international issues covered by the UN Charter, such as development, peace and security, international law.",This is an opportunity to raise the political profile of the post-2020 process.,http://www.un.org/en/ga/,Intergovernmental processes,,Other relevance
CBD COP15,01/10/2020,30/10/2020,x,"Beijing, China",CBD Secretariat,"The fifteenth meeting of the Conference of the Parties (COP15) to the Convention on Biological Diversity (CBD) will review the achievement and delivery of the CBD's Strategic Plan for Biodiversity 2011-2020. Furthermore, decision on the post-2020 global biodiversity framework will be made, together with decisions on related topics including capacity building and resource mobilisation. ",It is anticipated that the final decision of the post-2020 global biodiversity framework will be taken at this meeting.,https://www.cbd.int/cop/,Intergovernmental processes,,Part of the formal process
Cartagena Protocol on Biosafety COPMOP10,01/10/2020,30/10/2020,x,"Beijing, China",CBD Secretariat,The tenth Meeting of the Parties serving as the meeting of the Parties to the Cartagena Protocol on Biosafety (COPMOP10) will review the implementation of the Cartagena Protocol and makes decisions to promote its effective operation.,It is anticipated that the post-2020 global biodiversity framework will cover the convention and its protocols.,http://bch.cbd.int/protocol/cpb_mopmeetings.shtml,Intergovernmental processes,,Part of the formal process
Nagoya Protocol on Access and Benefit-sharing COPMOP4,01/10/2020,30/10/2020,x,"Beijing, China",CBD Secretariat,The fourth meeting of the Conference of the Parties serving as the meeting of the Parties to the Nagoya Protocol on Access and Benefit-sharing (COPMOP4) will review the implementation of the Nagoya Protocol and makes decisions to promote its effective operation.,It is anticipated that the post-2020 global biodiversity framework will cover the convention and its protocols.,https://www.cbd.int/abs/about/default.shtml,Intergovernmental processes,,Part of the formal process
